address,price,bed,bath,sq_ft,acres,hoa,garages,pool,land,city_id,city_name
"TBD Lakeshore Dr #47, Abingdon, VA 24211","$60,000",N/A,N/A,—,0.36 acre lot,$15 hoa,N/A,False,True,22,Abingdon
"TBD Puckett Knob Rd Unit None, Abingdon, VA 24210","$150,000",N/A,N/A,—,5 acre lot,N/A,N/A,False,True,22,Abingdon
"Tbd Harleywood Rd, Bristol, VA 24201","$289,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 6 Tbd Black Hollow Rd #6, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 5 Tbd Black Hollow Rd #5, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 4 Tbd Black Hollow Rd #4, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 2 Tbd Black Hollow Rd #2, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 5 Homestead Way #5, Abingdon, VA 24211","$89,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Green Spring Rd #7, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Boone St, Abingdon, VA 24210","$149,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd North Fork River Rd, Abingdon, VA 24210","$259,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Village Loop, Abingdon, VA 24210","$25,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 4 Homestead Way, Abingdon, VA 24210","$70,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 4 Homestead Way #4, Abingdon, VA 24211","$70,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"3.646 AC Old Saltworks Rd #11, Meadowview, VA 24361","$54,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
